alphlng,pwlng,tries
3,9,4478
3,9,15931
3,9,500
3,9,15816
3,9,27159
3,9,9867
3,9,24339
3,9,9511
3,9,6566
3,9,7389
3,9,4190
3,9,3682
3,9,16107
3,9,7677
3,9,341
3,9,12824
3,9,36013
3,9,2036
3,9,1358
3,9,23800
3,9,708
3,9,8471
3,9,84605
3,9,51182
3,9,33391
3,9,3791
3,9,16269
3,9,108726
3,9,12121
3,9,54842
3,9,9168
3,9,43387
3,9,7704
3,9,3716
3,9,15629
3,9,19104
3,9,40263
3,9,18068
3,9,8851
3,9,16271
3,9,10383
3,9,5569
3,9,39714
3,9,28461
3,9,582
3,9,10485
3,9,26778
3,9,6434
3,9,18648
,,=STABW(C2:C50),stabw
,,=MITTELWERT(C2:C50),mittelwert
